Report Type : StationReport,,,,,,,,,
Date,Time,Trace SO2,Trace NO,Trace NOy,Trace NOy-NO,WAQA_CO,O3,BAM_PM25,NO2_CAPS
10/11/18,12:00 AM,0.79,10.3,24.3,13.9,,0.003,,13.618
10/12/18,12:00 AM,0.96,12.9,25.8,12.8,,0.006,,12.984
10/13/18,12:00 AM,0.58,0.8,7.3,6.5,,0.017,,6.091
10/14/18,12:00 AM,0.57,3.3,13.7,10.3,,0.012,,10.219
10/15/18,12:00 AM,0.86,6.9,21.6,14.6,,0.006,,15.193
10/16/18,12:00 AM,1.24,16.9,34.8,17.8,,0.003,,19.256
10/17/18,12:00 AM,1.59,43.5,72.6,29,,0.002,,29.474
10/18/18,12:00 AM,1.47,26.5,52.2,25.7,,0.006,,26.401
10/19/18,12:00 AM,1.68,33.1,56.2,23,,0.005,,23.046
10/20/18,12:00 AM,0.52,1.1,10.8,9.7,,0.016,,8.443
10/21/18,12:00 AM,1.08,14.6,30.3,15.6,,0.005,,15.197
10/22/18,12:00 AM,1.79,51.3,73.6,22.3,,0,,22.774
10/23/18,12:00 AM,1.13,26.2,42.9,16.6,,0.005,,17.203
10/24/18,12:00 AM,1.01,5.6,21.4,15.7,,0.01,,17.022
10/25/18,12:00 AM,0.68,4.4,20.6,16.1,,0.008,,17.321
10/26/18,12:00 AM,0.55,0.6,7.2,6.5,,0.022,,7.454
10/27/18,12:00 AM,0.67,2.6,11.6,8.9,,0.009,,12.18
10/28/18,12:00 AM,0.57,0.6,6.4,5.7,,0.027,,6.741
10/29/18,12:00 AM,0.64,1.8,13.9,11.9,,0.015,,12.555
10/30/18,12:00 AM,0.74,3.4,17.8,14.3,,0.009,,15.243
10/31/18,12:00 AM,0.58,0.7,9,8.3,,0.015,,9.162
11/1/18,12:00 AM,0.52,0.2,4.6,4.3,,0.024,,5.069
11/2/18,12:00 AM,0.6,0.2,4.4,4.2,,0.029,,4.747
11/3/18,12:00 AM,0.54,0.4,7.5,7,,,,7.898
11/4/18,12:00 AM,0.52,0.1,2.4,2.3,,,,2.755
11/5/18,12:00 AM,0.52,0.2,5.9,5.6,,,,6.201
11/6/18,12:00 AM,0.59,0.8,11.9,11,,0.02,,11.361
11/7/18,12:00 AM,0.53,1.9,14.6,12.5,,0.011,,12.882
11/8/18,12:00 AM,0.67,9.6,24.1,14.5,,0.003,,14.879
11/9/18,12:00 AM,1.12,26.2,42.7,16.4,,0,,17.434
11/10/18,12:00 AM,0.78,8.8,21.7,12.8,,0.007,,12.643
11/11/18,12:00 AM,0.54,3.1,12,8.8,,0.006,,9.199
11/12/18,12:00 AM,1.48,31.1,53,21.7,,0.009,,21.701
11/13/18,12:00 AM,1.06,7,24.8,17.7,,0.01,,17.885
11/14/18,12:00 AM,0.76,2.3,18.2,15.7,,0.016,,16.142
11/15/18,12:00 AM,0.72,2.4,14.1,11.6,,0.017,,12.342
11/16/18,12:00 AM,0.58,0.7,10,9.2,,0.015,,9.522
11/17/18,12:00 AM,0.55,1.4,9.9,8.4,,0.012,,8.914
11/18/18,12:00 AM,0.74,7.4,22.9,15.4,,0.005,,15.466
11/19/18,12:00 AM,1.78,47.2,68.5,21.1,,0,,21.411
11/20/18,12:00 AM,2.92,87.1,112,24.8,,0,,24.195
11/21/18,12:00 AM,1.39,21,45.1,24,,0.003,,24.728
11/22/18,12:00 AM,0.66,1,8,6.9,,0.021,,7.479
11/23/18,12:00 AM,0.6,0.4,7,6.5,,0.026,,6.908
11/24/18,12:00 AM,0.72,2.1,13.8,11.7,,0.013,,11.836
11/25/18,12:00 AM,0.88,7.5,21.9,14.3,,0.003,,15.336
11/26/18,12:00 AM,0.89,10.2,25.6,15.3,,0.009,,16.337
11/27/18,12:00 AM,0.69,0.7,13.4,10.2,,0.022,,11.475
11/28/18,12:00 AM,0.73,1.6,15.7,13.9,,0.012,,16.431
11/29/18,12:00 AM,0.65,2.6,17.2,12.1,,0.007,,12.708
11/30/18,12:00 AM,0.81,5.4,18.3,12.7,,0.011,,12.856
12/1/18,12:00 AM,0.74,5,20.6,15.5,,,,16.805
12/2/18,12:00 AM,0.64,3.6,18.2,14.5,,,,14.516
12/3/18,12:00 AM,0.56,2.8,12.2,9.3,,,,9.32
12/4/18,12:00 AM,0.55,1.8,15.2,13.3,,0.012,,13.153
12/5/18,12:00 AM,0.65,3,15.8,12.6,,0.014,,12.463
12/6/18,12:00 AM,0.85,4.6,19.4,14.6,,0.017,,16.679
12/7/18,12:00 AM,0.6,2.2,13.6,11.3,,0.02,,11.791
12/8/18,12:00 AM,0.6,2.4,15.8,13.3,,0.015,,12.728
12/9/18,12:00 AM,0.5,0.5,5.7,5.1,,0.022,,5.846
12/10/18,12:00 AM,0.7,2.6,17.6,14.9,,,,15.577
12/11/18,12:00 AM,0.61,0.4,8.5,8,,,,9.967
12/12/18,12:00 AM,0.71,2.6,14.3,11.6,,0.02,,13.018
12/13/18,12:00 AM,0.64,1.5,15,13.3,,0.019,,14.77
12/14/18,12:00 AM,1.01,6.4,16.8,10.3,,0.022,,11.551
12/15/18,12:00 AM,0.6,0.4,6,5.5,,0.029,,5.872
12/16/18,12:00 AM,0.6,0.3,5.1,4.8,,0.027,,5.025
12/17/18,12:00 AM,0.66,1.5,12,10.4,,0.025,,11.246
12/18/18,12:00 AM,0.63,0.2,6.5,6.2,,0.031,,6.904
12/19/18,12:00 AM,0.71,4.8,19.4,14.3,,0.018,,14.665
12/20/18,12:00 AM,,1.8,8,6.1,,0.022,,6.67
12/21/18,12:00 AM,0.67,2.8,18.6,15.8,,0.015,,16.293
12/22/18,12:00 AM,0.65,2.4,13.8,11.3,,0.018,,11.818
12/23/18,12:00 AM,0.62,0.6,9.6,8.8,,0.024,,9.458
12/24/18,12:00 AM,0.55,0.5,6.9,6.3,,0.019,,6.588
12/25/18,12:00 AM,0.67,2.8,13.7,10.7,,0.008,,11.117
12/26/18,12:00 AM,0.6,1.1,11.4,10.1,,0.015,,10.698
12/27/18,12:00 AM,0.82,9.9,27.2,17.1,,0.008,,16.446
12/28/18,12:00 AM,0.62,2.5,15.3,12.7,,0.012,,13.431
12/29/18,12:00 AM,0.56,0.1,3,2.9,,0.03,,3.285
12/30/18,12:00 AM,0.61,0.9,9.8,8.7,,0.023,,8.236
12/31/18,12:00 AM,0.51,2.7,12.9,10.2,,0.01,,10.35
1/1/19,12:00 AM,0.93,13,29.5,16.4,,0.004,,16.751
1/2/19,12:00 AM,1.06,9.1,25.5,16.3,,0.006,,16.64
1/3/19,12:00 AM,0.79,3.7,18,14.3,,0.017,,15.368
1/4/19,12:00 AM,0.67,0.5,7.9,7.3,,0.027,,8.161
1/5/19,12:00 AM,1.14,15.4,31.5,16,,0.006,,17.046
1/6/19,12:00 AM,0.68,1.2,6.6,5.3,,0.031,,5.883
1/7/19,12:00 AM,0.59,1.2,11.1,9.9,,0.021,,9.584
1/8/19,12:00 AM,0.86,8.7,29.1,20.3,,0.012,,21.46
1/9/19,12:00 AM,0.84,5.3,19.7,14.3,,0.016,,15.291
1/10/19,12:00 AM,0.65,2.4,14.7,12,,0.015,,12.553
1/11/19,12:00 AM,1.77,40,61.6,21.5,,0.007,,22.726
1/12/19,12:00 AM,1.89,42.4,64.4,21.9,,0.006,,23.59
1/13/19,12:00 AM,1.33,20.5,43.5,22.9,,0.003,,24.308
1/14/19,12:00 AM,1.43,28.7,49.9,21.1,,0.003,,22.146
1/15/19,12:00 AM,2.71,55.7,84.2,28.4,,0.002,,29.647
1/16/19,12:00 AM,2.02,41.9,64.2,22.2,,0.007,,24.161
1/17/19,12:00 AM,1.06,10.3,20.8,10.4,,0.021,,12.253
1/18/19,12:00 AM,0.67,0.7,10,9.2,,0.025,,10.145
1/19/19,12:00 AM,0.59,0.3,5.9,5.6,,0.03,,5.95
1/20/19,12:00 AM,0.67,0.5,11.1,10.5,,0.02,,10.156
1/21/19,12:00 AM,1.02,9,25.9,16.8,,0.007,,17.464
1/22/19,12:00 AM,0.59,1.2,11.9,10.6,,0.018,,12.389
1/23/19,12:00 AM,0.81,6.4,18,11.5,,0.017,,12.265
1/24/19,12:00 AM,1.01,10.8,29.1,18.2,,0.006,,18.147
1/25/19,12:00 AM,,6.3,23.6,17.1,,0.005,,16.567
1/26/19,12:00 AM,0.78,4.7,18,13.2,,0.005,,13.239
1/27/19,12:00 AM,0.63,1.5,12,10.4,,0.008,,9.622
1/28/19,12:00 AM,0.72,5.3,17.5,12.1,,0.01,,12.302
1/29/19,12:00 AM,0.94,7.9,29.1,21,,0.008,,21.571
1/30/19,12:00 AM,1.82,41.4,68.6,27.1,,0.001,,27.305
1/31/19,12:00 AM,1.48,23.1,43.7,20.5,,0.005,,21.082
2/1/19,12:00 AM,0.91,3.9,17.3,13.3,,0.013,,13.891
2/2/19,12:00 AM,0.75,0.6,9.7,9,,0.025,,9.575
2/3/19,12:00 AM,0.74,0.1,4.9,4.8,,0.03,,5.226
2/4/19,12:00 AM,0.71,0.4,3.9,3.4,,0.032,,3.536
2/5/19,12:00 AM,0.95,6.6,23.5,16.8,,0.019,,16.277
2/6/19,12:00 AM,0.82,6.5,26.3,19.6,,0.013,,18.94
2/7/19,12:00 AM,0.7,5.8,24.7,18.8,,0.014,,18.065
2/8/19,12:00 AM,0.93,8.1,27.6,19.5,,0.012,,19.07
2/9/19,12:00 AM,0.7,0.5,5.5,4.9,,0.031,,4.907
2/10/19,12:00 AM,0.77,1.9,10.3,8.2,,0.027,,8.215
2/11/19,12:00 AM,0.65,1.1,8.5,7.3,,0.028,,7.432
2/12/19,12:00 AM,0.72,1.7,12.2,10.4,,0.027,,10.007
2/13/19,12:00 AM,0.83,2.9,17.9,14.9,,0.02,,15.063
2/14/19,12:00 AM,1.11,10.9,33.7,22.7,,0.014,,22.873
2/15/19,12:00 AM,0.74,,,,,0.023,,11.102
2/16/19,12:00 AM,0.82,,,,,0.011,,15.802
2/17/19,12:00 AM,0.76,,,,,0.014,,15.483
2/18/19,12:00 AM,0.83,,,,,,,16.658
2/19/19,12:00 AM,,,,,,,,11.344
2/20/19,12:00 AM,0.7,0.7,10.8,10,,0.02,,10.213
2/21/19,12:00 AM,0.74,3.4,18.4,15,,0.013,,14.428
2/22/19,12:00 AM,0.81,1.5,15.6,14,,0.019,,13.908
2/23/19,12:00 AM,0.75,0.6,8.7,8,,0.027,,8.113
2/24/19,12:00 AM,0.63,0.1,5.6,5.4,,0.032,,5.236
2/25/19,12:00 AM,,1,8.9,7.8,,0.028,,7.864
2/26/19,12:00 AM,0.66,0.5,7.1,6.5,,0.034,,6.191
2/27/19,12:00 AM,0.84,1,11.9,10.8,,0.03,,10.975
2/28/19,12:00 AM,0.83,1.8,14.5,12.6,,0.028,,12.467
3/1/19,12:00 AM,0.77,2.2,16.2,13.9,,0.023,,13.428
3/2/19,12:00 AM,0.75,0.7,9.7,8.9,,0.031,,7.706
3/3/19,12:00 AM,0.6,0.2,4.5,4.2,,0.041,,3.47
3/4/19,12:00 AM,0.66,0.7,6.3,5.5,,0.041,,5.077
3/5/19,12:00 AM,0.69,1.3,11.3,9.9,,0.035,,9.622
3/6/19,12:00 AM,0.86,3.2,19.1,15.9,,0.021,,15.565
3/7/19,12:00 AM,0.79,1.3,14,12.7,,0.024,,12.951
3/8/19,12:00 AM,0.85,4.2,23.9,19.9,,0.02,,19.215
3/9/19,12:00 AM,0.72,3.1,16,12.8,,0.021,,12.082
3/10/19,12:00 AM,1.3,2.6,17.4,14.7,,0.023,,13.956
3/11/19,12:00 AM,0.79,1.5,11.8,10.2,,0.031,,9.998
3/12/19,12:00 AM,0.75,1.3,11.1,9.8,,0.028,,10.14
3/13/19,12:00 AM,0.84,6.1,21.7,15.5,,0.019,,16.033
3/14/19,12:00 AM,0.74,3,14.2,11.1,,0.022,,11.319
3/15/19,12:00 AM,,6.2,20.5,14.2,,0.019,,13.013
3/16/19,12:00 AM,,4.6,21.3,16.6,,0.017,,16.232
3/17/19,12:00 AM,1,1.7,13.8,12.1,,,,11.413
3/18/19,12:00 AM,0.89,3.9,14.5,10.4,,,,10.26
3/19/19,12:00 AM,0.89,7.1,15.6,8.3,,0.043,,7.557
3/20/19,12:00 AM,1.06,11,26.4,15.3,,0.033,,15.838
3/21/19,12:00 AM,0.77,0.5,8.3,8.1,,0.036,,8.783
3/22/19,12:00 AM,1,8.6,21.3,12.6,,0.029,,13.041
3/23/19,12:00 AM,1.04,1.8,11.7,8.8,,0.034,,8.904
3/24/19,12:00 AM,1.31,3.3,16.5,13.1,,0.025,,12.851
3/25/19,12:00 AM,1.06,5.4,19.1,10.2,,0.021,,10.566
3/26/19,12:00 AM,0.8,1,10.9,9.7,,0.034,,10.18
3/27/19,12:00 AM,0.87,1.1,9.1,7.8,,0.03,,8.178
3/28/19,12:00 AM,,4.1,18,13.8,,0.03,,14.352
3/29/19,12:00 AM,1.12,3.8,22,16.8,,0.02,,17.315
3/30/19,12:00 AM,1.03,3.4,15.3,11.8,,0.027,,11.702
3/31/19,12:00 AM,0.91,1.6,13.3,10.1,,0.028,,9.417
4/1/19,12:00 AM,0.98,2.8,14,11.1,,0.027,,10.832
4/2/19,12:00 AM,1.07,2.3,14.3,11.9,,0.027,,12.16
4/3/19,12:00 AM,0.84,1.1,7.9,6.7,,0.029,,7.035
4/4/19,12:00 AM,0.99,1.4,11.1,9.6,,0.03,,9.853
4/5/19,12:00 AM,0.8,0.9,7.5,6.5,,0.029,,6.971
4/6/19,12:00 AM,0.78,0.2,4,3.7,,0.039,,3.978
4/7/19,12:00 AM,0.74,0.4,5.8,5.3,,0.034,,5.298
4/8/19,12:00 AM,0.86,3.7,14.9,11.1,,0.018,,11.87
4/9/19,12:00 AM,0.74,0.8,6.9,6.1,,0.033,,6.592
4/10/19,12:00 AM,0.68,0.3,6.5,6.1,,0.031,,6.701
4/11/19,12:00 AM,0.72,0.3,4.3,3.9,,0.037,,4.587
4/12/19,12:00 AM,,1.9,14.8,12.8,,0.023,,13.316
4/13/19,12:00 AM,,0.2,3.5,3.1,,0.037,,3.568
4/14/19,12:00 AM,,0.1,2.1,2,,0.04,,2.252
4/15/19,12:00 AM,,0.9,8.7,7.8,,0.037,,8.147
4/16/19,12:00 AM,0.84,1.3,9.5,8.2,,0.027,,8.475
4/17/19,12:00 AM,0.75,0.4,4.3,3.9,,0.033,,4.266
4/18/19,12:00 AM,0.8,1.4,9.4,7.9,,0.02,,8.872
4/19/19,12:00 AM,0.76,1.2,9,7.7,,0.025,,8.663
4/20/19,12:00 AM,0.79,0.7,6.9,6.1,,0.03,,5.984
4/21/19,12:00 AM,0.77,1.2,9.3,8,,0.029,,8.059
4/22/19,12:00 AM,0.82,1.6,10.9,9.2,,0.025,,10.201
4/23/19,12:00 AM,0.76,0.8,5,4.2,,0.031,,4.58
4/24/19,12:00 AM,0.76,1.5,7.7,6.1,,0.039,,6.108
4/25/19,12:00 AM,0.92,2.3,11.5,9.4,,0.028,,9.773
4/26/19,12:00 AM,0.81,1.7,10.5,8.7,,0.033,,8.877
4/27/19,12:00 AM,0.8,0.4,4.3,3.8,,0.037,,4.063
4/28/19,12:00 AM,0.81,1.2,6.7,5.5,,0.029,,5.372
